data_operacao,descricao,doc,valor,tipo,mes
2024-01-02,APL BRB RENDE FACIL FIRF CP AU,001289,"39.081,62",debito,JANEIRO
2024-01-03,DEBITO PIX 0103,000000,"1.750,00",debito,JANEIRO
2024-01-03,CREDITO COBRANCA BRB,000005,"3.350,00",credito,JANEIRO
2024-01-03,COBRANCA DIRETA MODALIDADE 1,000000,"344,50",debito,JANEIRO
2024-01-03,CREDITO COBRANCA BRB,000032,"21.440,00",credito,JANEIRO
2024-01-03,PAGAMENTO COM CHEQUE BRB,001359,"300,00",debito,JANEIRO
2024-01-03,APL BRB RENDE FACIL FIRF CP AU,001291,"22.395,50",debito,JANEIRO
2024-01-04,APL BRB RENDE FACIL FIRF CP AU,001411,"15.870,11",debito,JANEIRO
2024-01-04,CREDITO COBRANCA BRB,000023,"13.405,61",credito,JANEIRO
2024-01-04,CREDITO COBRANCA BRB,000004,"2.705,00",credito,JANEIRO
2024-01-04,COBRANCA DIRETA MODALIDADE 1,000000,"240,50",debito,JANEIRO
2024-01-05,PAGAMENTO FGTS 3104,438383,"17.451,90",debito,JANEIRO
2024-01-05,RESGATE FUNDOS,001454,"50.519,05",credito,JANEIRO
2024-01-05,CREDITO COBRANCA BRB,000045,"29.998,11",credito,JANEIRO
2024-01-05,COBRANCA DIRETA MODALIDADE 1,000000,"175,50",debito,JANEIRO
2024-01-05,CREDITO COBRANCA BRB,000009,"6.080,00",credito,JANEIRO
2024-01-05,DEBITO PIX 0103,000000,"1.001,63",debito,JANEIRO
2024-01-05,SAQUE DIN AG CHEQUE,001360,"2.877,53",debito,JANEIRO
2024-01-05,DEBITO TED STR0008 C.CORRENTE V12 MOTORS VW COMERC 0000000068,000000,"990,00",debito,JANEIRO
2024-01-05,DEBITO TRANSF ELET P POUPANCA NOME NAO CADASTRADO 1480268574,523148,"900,00",debito,JANEIRO
2024-01-05,DEBITO PIX Daniel jose dos sant 0103,000000,"1.817,41",debito,JANEIRO
2024-01-05,DEBITO TED STR0008 C.CORRENTE BARBARA SILVA DOS SA 0000000150,000000,"152,27",debito,JANEIRO
2024-01-05,DEBITO PIX 0103,000000,"910,45",debito,JANEIRO
2024-01-05,DEBITO PIX Antonio Dhekson Oliv 0103,000000,"3.293,57",debito,JANEIRO
2024-01-05,DEBITO PAGAMENTO DE SALARIO 0103,361070,"92.763,21",debito,JANEIRO
2024-01-05,DEBITO PIX Paulo Gomes dos Sant 0103,000000,"2.347,63",debito,JANEIRO
2024-01-05,DEBITO PIX MAYKON MATIAS OLIVEI 0103,000000,"1.503,34",debito,JANEIRO
2024-01-05,TRANSF ELETRONICA DE POUPANCA,523086,"40.000,00",credito,JANEIRO
2024-01-05,DEBITO TRANSF ELET P POUPANCA NOME NAO CADASTRADO 1480268574,523148,"412,72",debito,JANEIRO
2024-01-08,DEBITO TRANSF ELETR ENTRE C/C PARAMETRO AS CONS CO 0860011640,525086,"8.992,93",debito,JANEIRO
2024-01-08,APL BRB RENDE FACIL FIRF CP AU,001535,"23.772,68",debito,JANEIRO
2024-01-08,COBRANCA DIRETA MODALIDADE 1,000000,"351,00",debito,JANEIRO
2024-01-08,CREDITO COBRANCA BRB,000061,"39.626,32",credito,JANEIRO
2024-01-08,CREDITO COBRANCA BRB,000008,"5.360,00",credito,JANEIRO
2024-01-08,PAGAMENTO CAESB 3104,676216,"29,78",debito,JANEIRO
